Ref,Val,Package,PosX,PosY,Rot,Side
"P1","CONN_FFC_8_VERT","Molex_FFC_1x8_P0.5mm_Vertical",5.787402,-3.818898,0.000000,top
"P2","CONN_FFC_8_VERT","Molex_FFC_1x8_P0.5mm_Vertical",5.787402,-4.133858,0.000000,top
"P3","CONN_FFC_8_VERT","Molex_FFC_1x8_P0.5mm_Vertical",5.787402,-4.448819,0.000000,top
"P4","CONN_FFC_8_VERT","Molex_FFC_1x8_P0.5mm_Vertical",5.787402,-4.763780,0.000000,top
"P5","CONN_FFC_8_VERT","Molex_FFC_1x8_P0.5mm_Vertical",6.301181,-3.818898,0.000000,top
"P6","CONN_FFC_8_VERT","Molex_FFC_1x8_P0.5mm_Vertical",6.299213,-4.133858,0.000000,top
"P7","CONN_FFC_8_VERT","Molex_FFC_1x8_P0.5mm_Vertical",6.299213,-4.448819,0.000000,top
"P8","CONN_FFC_8_VERT","Molex_FFC_1x8_P0.5mm_Vertical",6.299213,-4.763780,0.000000,top
"P9","CONN_FFC_8_VERT","Molex_FFC_1x8_P0.5mm_Vertical",6.811024,-3.818898,0.000000,top
"P10","CONN_FFC_8_VERT","Molex_FFC_1x8_P0.5mm_Vertical",6.811024,-4.133858,0.000000,top
"P11","CONN_FFC_8_VERT","Molex_FFC_1x8_P0.5mm_Vertical",6.811024,-4.448819,0.000000,top
"P12","CONN_FFC_8_VERT","Molex_FFC_1x8_P0.5mm_Vertical",6.811024,-4.763780,0.000000,top
